date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:36:00	12281/12281	---M--	200	added ('OK')	image/png	etag:%222ff9-5d887ab14b980%22	https://globalgoalscms.co.uk/wp-content/uploads/2021/09/7.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/7.png	(from https://www.globalgoals.org/goals/7-affordable-and-clean-energy/)
18:36:00	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2021%20Nov%202023%2013:06:13%20GMT	http://globalgoalscms.co.uk/wp-content/uploads/2021/09/8.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/8.png	(from https://www.globalgoals.org/goals/8-decent-work-and-economic-growth/)
18:36:01	10982/10982	---M--	200	added ('OK')	image/png	etag:%222ae6-5d887aed60740%22	https://globalgoalscms.co.uk/wp-content/uploads/2021/09/8.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/8.png	(from https://www.globalgoals.org/goals/8-decent-work-and-economic-growth/)
18:36:01	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2021%20Nov%202023%2013:06:14%20GMT	http://globalgoalscms.co.uk/wp-content/uploads/2021/09/9.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/9.png	(from https://www.globalgoals.org/goals/9-industry-innovation-and-infrastructure/)
18:36:01	10942/10942	---M--	200	added ('OK')	image/png	etag:%222abe-5d887b1d0f7c0%22	https://globalgoalscms.co.uk/wp-content/uploads/2021/09/9.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/9.png	(from https://www.globalgoals.org/goals/9-industry-innovation-and-infrastructure/)
18:36:02	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2021%20Nov%202023%2013:06:14%20GMT	http://globalgoalscms.co.uk/wp-content/uploads/2021/09/10.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/10.png	(from https://www.globalgoals.org/goals/10-reduced-inequalities/)
18:36:02	7087/7087	---M--	200	added ('OK')	image/png	etag:%221baf-5d887b4ad63c0%22	https://globalgoalscms.co.uk/wp-content/uploads/2021/09/10.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/10.png	(from https://www.globalgoals.org/goals/10-reduced-inequalities/)
18:36:02	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2021%20Nov%202023%2013:06:15%20GMT	http://globalgoalscms.co.uk/wp-content/uploads/2021/09/11.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/11.png	(from https://www.globalgoals.org/goals/11-sustainable-cities-and-communities/)
18:36:03	7848/7848	---M--	200	added ('OK')	image/png	etag:%221ea8-5d887b76b4b40%22	https://globalgoalscms.co.uk/wp-content/uploads/2021/09/11.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/11.png	(from https://www.globalgoals.org/goals/11-sustainable-cities-and-communities/)
18:36:03	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2021%20Nov%202023%2013:06:16%20GMT	http://globalgoalscms.co.uk/wp-content/uploads/2021/09/12.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/12.png	(from https://www.globalgoals.org/goals/12-responsible-consumption-and-production/)
18:36:03	12962/12962	---M--	200	added ('OK')	image/png	etag:%2232a2-5d887bab28700%22	https://globalgoalscms.co.uk/wp-content/uploads/2021/09/12.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/12.png	(from https://www.globalgoals.org/goals/12-responsible-consumption-and-production/)
18:36:04	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2021%20Nov%202023%2013:06:16%20GMT	http://globalgoalscms.co.uk/wp-content/uploads/2021/09/13.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/13.png	(from https://www.globalgoals.org/goals/13-climate-action/)
18:36:04	14684/14684	---M--	200	added ('OK')	image/png	etag:%22395c-5d887bf58b680%22	https://globalgoalscms.co.uk/wp-content/uploads/2021/09/13.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/13.png	(from https://www.globalgoals.org/goals/13-climate-action/)
18:36:04	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2021%20Nov%202023%2013:06:17%20GMT	http://globalgoalscms.co.uk/wp-content/uploads/2021/09/14.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/14.png	(from https://www.globalgoals.org/goals/14-life-below-water/)
18:36:05	12848/12848	---M--	200	added ('OK')	image/png	etag:%223230-5d887c2722b80%22	https://globalgoalscms.co.uk/wp-content/uploads/2021/09/14.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/14.png	(from https://www.globalgoals.org/goals/14-life-below-water/)
18:36:05	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2021%20Nov%202023%2013:06:18%20GMT	http://globalgoalscms.co.uk/wp-content/uploads/2021/09/15.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/15.png	(from https://www.globalgoals.org/goals/15-life-on-land/)
18:36:05	8672/8672	---M--	200	added ('OK')	image/png	etag:%2221e0-5d887c5b96740%22	https://globalgoalscms.co.uk/wp-content/uploads/2021/09/15.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/15.png	(from https://www.globalgoals.org/goals/15-life-on-land/)
18:36:06	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2021%20Nov%202023%2013:06:19%20GMT	http://globalgoalscms.co.uk/wp-content/uploads/2021/09/16.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/16.png	(from https://www.globalgoals.org/goals/16-peace-justice-and-strong-institutions/)
18:36:06	12613/12613	---M--	200	added ('OK')	image/png	etag:%223145-5d887c8e21e80%22	https://globalgoalscms.co.uk/wp-content/uploads/2021/09/16.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/16.png	(from https://www.globalgoals.org/goals/16-peace-justice-and-strong-institutions/)
18:36:07	24/24	---M--	301	error ('Moved%20Permanently')	text/plain	date:Tue,%2021%20Nov%202023%2013:06:19%20GMT	http://globalgoalscms.co.uk/wp-content/uploads/2021/09/17.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/17.png	(from https://www.globalgoals.org/goals/17-partnerships-for-the-goals/)
18:36:07	16966/16966	---M--	200	added ('OK')	image/png	etag:%224246-5d887cb723f40%22	https://globalgoalscms.co.uk/wp-content/uploads/2021/09/17.png	C:/My%20Web%20Sites/a/globalgoalscms.co.uk/wp-content/uploads/2021/09/17.png	(from https://www.globalgoals.org/goals/17-partnerships-for-the-goals/)
